,CH1
Second,Volt
-6.00000e-05,1.60e-02, 
-5.98000e-05,-1.60e-02, 
-5.96000e-05,8.00e-03, 
-5.94000e-05,-1.60e-02, 
-5.92000e-05,8.00e-03, 
-5.90000e-05,-1.60e-02, 
-5.88000e-05,-8.00e-03, 
-5.86000e-05,8.00e-03, 
-5.84000e-05,-1.60e-02, 
-5.82000e-05,8.00e-03, 
-5.80000e-05,-8.00e-03, 
-5.78000e-05,8.00e-03, 
-5.76000e-05,-8.00e-03, 
-5.74000e-05,1.60e-02, 
-5.72000e-05,1.60e-02, 
-5.70000e-05,-1.60e-02, 
-5.68000e-05,1.60e-02, 
-5.66000e-05,-1.60e-02, 
-5.64000e-05,-1.60e-02, 
-5.62000e-05,1.60e-02, 
-5.60000e-05,-8.00e-03, 
-5.58000e-05,1.60e-02, 
-5.56000e-05,-1.60e-02, 
-5.54000e-05,8.00e-03, 
-5.52000e-05,8.00e-03, 
-5.50000e-05,-1.60e-02, 
-5.48000e-05,0.00e+00, 
-5.46000e-05,-1.60e-02, 
-5.44000e-05,8.00e-03, 
-5.42000e-05,-8.00e-03, 
-5.40000e-05,-1.60e-02, 
-5.38000e-05,1.60e-02, 
-5.36000e-05,-1.60e-02, 
-5.34000e-05,8.00e-03, 
-5.32000e-05,-8.00e-03, 
-5.30000e-05,8.00e-03, 
-5.28000e-05,-1.60e-02, 
-5.26000e-05,8.00e-03, 
-5.24000e-05,8.00e-03, 
-5.22000e-05,-1.60e-02, 
-5.20000e-05,8.00e-03, 
-5.18000e-05,-1.60e-02, 
-5.16000e-05,8.00e-03, 
-5.14000e-05,-1.60e-02, 
-5.12000e-05,8.00e-03, 
-5.10000e-05,-8.00e-03, 
-5.08000e-05,-1.60e-02, 
-5.06000e-05,8.00e-03, 
-5.04000e-05,1.76e-01, 
-5.02000e-05,-8.80e-02, 
-5.00000e-05,-1.60e-02, 
-4.98000e-05,0.00e+00, 
-4.96000e-05,0.00e+00, 
-4.94000e-05,-2.40e-02, 
-4.92000e-05,8.00e-03, 
-4.90000e-05,-1.60e-02, 
-4.88000e-05,0.00e+00, 
-4.86000e-05,-2.40e-02, 
-4.84000e-05,8.00e-03, 
-4.82000e-05,-1.60e-02, 
-4.80000e-05,-1.60e-02, 
-4.78000e-05,8.00e-03, 
-4.76000e-05,-1.60e-02, 
-4.74000e-05,0.00e+00, 
-4.72000e-05,-2.40e-02, 
-4.70000e-05,0.00e+00, 
-4.68000e-05,8.00e-03, 
-4.66000e-05,-1.60e-02, 
-4.64000e-05,0.00e+00, 
-4.62000e-05,-1.60e-02, 
-4.60000e-05,8.00e-03, 
-4.58000e-05,-1.60e-02, 
-4.56000e-05,0.00e+00, 
-4.54000e-05,-1.60e-02, 
-4.52000e-05,0.00e+00, 
-4.50000e-05,-1.60e-02, 
-4.48000e-05,-1.60e-02, 
-4.46000e-05,8.00e-03, 
-4.44000e-05,-1.60e-02, 
-4.42000e-05,0.00e+00, 
-4.40000e-05,0.00e+00, 
-4.38000e-05,-1.60e-02, 
-4.36000e-05,8.00e-03, 
-4.34000e-05,-1.60e-02, 
-4.32000e-05,0.00e+00, 
-4.30000e-05,-1.60e-02, 
-4.28000e-05,-1.60e-02, 
-4.26000e-05,8.00e-03, 
-4.24000e-05,-1.60e-02, 
-4.22000e-05,1.60e-02, 
-4.20000e-05,-1.60e-02, 
-4.18000e-05,8.00e-03, 
-4.16000e-05,-1.60e-02, 
-4.14000e-05,8.00e-03, 
-4.12000e-05,0.00e+00, 
